model,condition,virtue_test_acc,ci_low,ci_high
Qwen2.5-0.5B,baseline_empty_prefix,0.2020100502512563,0.19095477386934673,0.21306532663316582
Qwen2.5-0.5B,neutral_prefix_bestL,0.20180904522613066,0.19074874371859296,0.21306532663316582
Qwen2.5-0.5B,instruction_only_paraphrase_bestK,0.6228475711892797,0.6156113902847572,0.6300837520938023
Qwen2.5-0.5B,grpo_best,0.374606365159129,0.3678391959798995,0.38130653266331654
