L,K,k,train_dev_accuracy,test_accuracy,l_dev
100,10,3,0.09027613877743686,0.2017420435510888,9401.940256329564
100,50,10,0.17201636377940366,0.24234505862646563,8274.243069013892
100,100,20,0.08968609865470852,0.20180904522613066,9198.916784795778
200,10,3,0.08956809063016286,0.2017420435510888,9726.719494569736
200,50,10,0.09212493116198568,0.20268006700167507,8831.832418378443
200,100,20,0.31213122492329476,0.374606365159129,8147.887921908249
400,10,3,0.08984344268743609,0.20180904522613066,9221.508629006645
400,50,10,0.09000078672016365,0.20180904522613066,8836.350511381403
400,100,20,0.09000078672016364,0.20180904522613066,8999.955777699128
